INFO 2025-11-07 15:51:08,638 autoreload 118928 118932 Watching for file changes with StatReloader
INFO 2025-11-07 15:51:23,087 basehttp 118928 120348 "GET / HTTP/1.1" 302 0
INFO 2025-11-07 15:51:23,262 basehttp 118928 120348 "GET /accounts/login/ HTTP/1.1" 200 2734
INFO 2025-11-07 15:51:23,304 basehttp 118928 121156 "GET /static/css/login.css HTTP/1.1" 200 5172
INFO 2025-11-07 15:51:23,305 basehttp 118928 120828 "GET /static/css/register.css HTTP/1.1" 200 1139
INFO 2025-11-07 15:51:23,345 basehttp 118928 120828 "GET /static/images/lab.png HTTP/1.1" 200 944123
WARNING 2025-11-07 15:51:23,381 basehttp 118928 121156 "GET /accounts/login/js/login.js HTTP/1.1" 404 11169
INFO 2025-11-07 15:51:24,560 basehttp 118928 120896 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2025-11-07 15:51:24,571 basehttp 118928 120896 "GET /accounts/login/ HTTP/1.1" 200 2734
INFO 2025-11-07 15:51:53,932 basehttp 118928 124684 "GET /accounts/login/ HTTP/1.1" 200 2734
INFO 2025-11-07 15:51:53,969 basehttp 118928 124684 "GET /static/css/login.css HTTP/1.1" 200 5172
INFO 2025-11-07 15:51:53,974 basehttp 118928 124688 "GET /static/css/register.css HTTP/1.1" 200 1139
WARNING 2025-11-07 15:51:53,986 basehttp 118928 124732 "GET /accounts/login/js/login.js HTTP/1.1" 404 11169
INFO 2025-11-07 15:51:53,991 basehttp 118928 124728 "GET /static/images/lab.png HTTP/1.1" 200 944123
INFO 2025-11-07 15:51:55,272 basehttp 118928 124728 "GET /favicon.ico HTTP/1.1" 302 0
INFO 2025-11-07 15:51:55,280 basehttp 118928 124728 "GET /accounts/login/ HTTP/1.1" 200 2734
INFO 2025-11-07 15:52:09,920 views 118928 124728 Login attempt for user: shoyeb
INFO 2025-11-07 15:52:10,879 views 118928 124728 Successful login for user: shoyeb
INFO 2025-11-07 15:52:10,885 basehttp 118928 124728 "POST /accounts/login/ HTTP/1.1" 302 0
INFO 2025-11-07 15:52:10,894 views 118928 124728 Dashboard accessed by user: shoyeb
INFO 2025-11-07 15:52:10,940 basehttp 118928 124728 "GET /accounts/dashboard/ HTTP/1.1" 200 50661
INFO 2025-11-07 15:52:10,971 basehttp 118928 124684 "GET /static/css/index.css HTTP/1.1" 200 3909
INFO 2025-11-07 15:52:10,972 basehttp 118928 124728 "GET /static/bootstrap%20css/bootstrap.min.css HTTP/1.1" 200 232803
INFO 2025-11-07 15:52:10,973 basehttp 118928 124964 "GET /static/css/base.css HTTP/1.1" 200 3413
INFO 2025-11-07 15:52:10,973 basehttp 118928 124960 "GET /static/css/changepass.css HTTP/1.1" 200 2209
INFO 2025-11-07 15:52:10,974 basehttp 118928 124732 "GET /static/bootstrap%20css/fontawesome-free-7.1.0-web/css/all.min.css HTTP/1.1" 200 74320
INFO 2025-11-07 15:52:10,975 basehttp 118928 124688 "GET /static/offlinejs/chart.js HTTP/1.1" 200 208522
INFO 2025-11-07 15:52:10,992 basehttp 118928 124964 "GET /static/js/changepass.js HTTP/1.1" 200 709
INFO 2025-11-07 15:52:10,996 basehttp 118928 124732 "GET /static/js/index.js HTTP/1.1" 200 2062
